company_id,broad_sector,pe_ratio,valuation_flag
ONGC,Energy,18.15,Discount (Undervalued)
BPCL,Energy,68.15,Caution (Overvalued)
TATAMOTORS,Consumer Discretionary,67.07,Caution (Overvalued)
COALINDIA,Materials,34.27,Discount (Undervalued)
IOC,Energy,28.61,Discount (Undervalued)
HINDUNILVR,Consumer Staples,34.51,Discount (Undervalued)
LT,Industrials,30.8,Discount (Undervalued)
INFY,Information Technology,35.99,Discount (Undervalued)
NTPC,Energy,30.8,Discount (Undervalued)
INDIGO,Consumer Discretionary,76.23,Caution (Overvalued)
SBIN,Financials,54.93,Caution (Overvalued)
MOTHERSON,Consumer Discretionary,9.54,Discount (Undervalued)
PIDILITIND,Materials,36.12,Discount (Undervalued)
EICHERMOT,Consumer Discretionary,15.62,Discount (Undervalued)
MARUTI,Consumer Discretionary,20.78,Discount (Undervalued)
IRFC,Financials,9.81,Discount (Undervalued)
GAIL,Energy,25.84,Discount (Undervalued)
TATAPOWER,Energy,14.5,Discount (Undervalued)
TRENT,Consumer Discretionary,8.65,Discount (Undervalued)
TITAN,Consumer Discretionary,10.13,Discount (Undervalued)
ABB,Industrials,75.58,Caution (Overvalued)
HAL,Industrials,71.89,Caution (Overvalued)
SHREECEM,Materials,25.87,Discount (Undervalued)
BOSCHLTD,Consumer Discretionary,58.43,Caution (Overvalued)
NHPC,Energy,71.17,Caution (Overvalued)
IRCTC,Consumer Discretionary,60.44,Caution (Overvalued)
DRREDDY,Healthcare,11.73,Discount (Undervalued)
DMART,Consumer Discretionary,72.53,Caution (Overvalued)
ICICIPRULI,Financials,20.83,Discount (Undervalued)
NAUKRI,Communication Services,32.88,Discount (Undervalued)
BEL,Industrials,17.89,Discount (Undervalued)
GODREJCP,Consumer Staples,33.59,Discount (Undervalued)
SBILIFE,Financials,69.98,Caution (Overvalued)
M&M,Consumer Discretionary,14.22,Discount (Undervalued)
BHEL,Industrials,29.8,Discount (Undervalued)
INDUSINDBK,Financials,8.99,Discount (Undervalued)
BANKBARODA,Financials,16.89,Discount (Undervalued)
PNB,Financials,19.29,Discount (Undervalued)
JSWENERGY,Energy,24.79,Discount (Undervalued)
BAJFINANCE,Financials,69.2,Caution (Overvalued)
SHRIRAMFIN,Financials,68.53,Caution (Overvalued)
CHOLAFIN,Financials,16.79,Discount (Undervalued)
BAJAJFINSV,Financials,15.07,Discount (Undervalued)
GRASIM,Industrials,79.35,Caution (Overvalued)
